date_time,temperature
41:25.9,23.437
41:32.7,23.437
41:39.6,23.437
41:46.4,23.437
41:53.2,23.437
42:00.1,23.437
42:06.9,23.437
42:13.7,23.437
42:20.5,23.437
42:27.3,23.437
42:34.1,23.437
42:41.0,23.437
42:47.8,23.437
42:54.6,23.437
43:01.5,23.437
43:08.3,23.437
43:15.1,23.437
43:22.0,23.437
43:28.8,23.437
43:35.6,23.437
43:42.5,23.375
43:49.3,23.375
43:56.1,23.375
44:02.9,23.437
44:09.7,23.375
44:16.5,23.375
44:23.4,23.375
44:30.2,23.375
44:37.0,23.375
44:43.9,23.375
44:50.7,23.375
44:57.5,23.375
45:04.4,23.375
45:11.2,23.375
45:18.0,23.375
45:24.9,23.375
45:31.7,23.375
45:38.5,23.375
45:45.3,23.375
45:52.1,23.375
45:58.9,23.375
46:05.8,23.375
46:12.6,23.375
46:19.4,23.375
46:26.3,23.375
46:33.1,23.375
46:39.9,23.375
46:46.8,23.375
46:53.6,23.375
47:00.4,23.375
47:07.3,23.375
47:14.1,23.375
47:20.9,23.375
47:27.7,23.375
47:34.5,23.375
47:41.3,23.375
47:48.2,23.375
47:55.0,23.375
48:01.8,23.375
48:08.7,23.312
48:15.5,23.375
48:22.3,23.312
48:29.2,23.312
48:36.0,23.312
48:42.8,23.312
48:49.7,23.312
48:56.5,23.312
49:03.3,23.312
49:10.1,23.312
49:16.9,23.312
49:23.7,23.312
49:30.6,23.312
49:37.4,23.312
49:44.2,23.312
49:51.1,23.312
49:57.9,23.312
50:04.7,23.312
50:11.6,23.312
50:18.4,23.312
50:25.2,23.312
50:32.1,23.312
50:38.9,23.312
50:45.7,23.25
50:52.5,23.312
50:59.3,23.25
51:06.1,23.312
51:13.0,23.25
51:19.8,23.25
51:26.6,23.25
51:33.5,23.25
51:40.3,23.25
51:47.1,23.25
51:54.0,23.25
52:00.8,23.25
52:07.6,23.25
52:14.5,23.25
52:21.3,23.25
52:28.1,23.25
52:34.9,23.25
52:41.7,23.25
52:48.5,23.25
52:55.4,23.25
53:02.2,23.25
53:09.0,23.25
53:15.9,23.25
53:22.7,23.25
53:29.5,23.25
53:36.4,23.25
53:43.2,23.25
53:50.0,23.25
53:56.9,23.25
54:03.7,23.25
54:10.5,23.25
54:17.3,23.25
54:24.1,23.25
54:30.9,23.25
54:37.8,23.25
54:44.6,23.25
54:51.4,23.187
54:58.3,23.25
